Question,Answer,Category
What is your name?,My name is Chatbot.,General
Who are you?,My name is Chatbot.,General
Can you tell me your name?,My name is Chatbot.,General
What do people call you?,My name is Chatbot.,General
What should I call you?,My name is Chatbot.,General
What is AI?,AI stands for Artificial Intelligence.,General
What does AI mean?,AI stands for Artificial Intelligence.,General
What is Artificial Intelligence?,AI stands for Artificial Intelligence.,General
Can you explain AI?,AI stands for Artificial Intelligence.,General
How does AI work?,AI stands for Artificial Intelligence.,General
What are your hours?,We are open from 9 AM to 5 PM daily.,General
When are you open?,We are open from 9 AM to 5 PM daily.,General
What is your working schedule?,We are open from 9 AM to 5 PM daily.,General
What time do you start?,We are open from 9 AM to 5 PM daily.,General
Are you open today?,We are open from 9 AM to 5 PM daily.,General
How do I contact support?,Email us at support@domain.com.,Support
How do I reach support?,Email us at support@domain.com.,Support
What is the support email?,Email us at support@domain.com.,Support
Can I contact support?,Email us at support@domain.com.,Support
Where can I email for help?,Email us at support@domain.com.,Support
What is your refund policy?,Refunds are available within 30 days.,Support
Can I get a refund?,Refunds are available within 30 days.,Support
Do you offer refunds?,Refunds are available within 30 days.,Support
How long is the refund window?,Refunds are available within 30 days.,Support
Is there a refund policy?,Refunds are available within 30 days.,Support
How do I reset my password?,You can reset your password via the 'Forgot Password' link on the login page.,Technical
I forgot my password. What should I do?,You can reset your password via the 'Forgot Password' link on the login page.,Technical
Can I recover my account?,You can reset your password via the 'Forgot Password' link on the login page.,Technical
What is the process for password recovery?,You can reset your password via the 'Forgot Password' link on the login page.,Technical
How do I update my account password?,You can reset your password via the 'Forgot Password' link on the login page.,Technical
What payment methods do you accept?,We accept credit cards PayPal and bank transfers.,Billing
Can I pay with PayPal?,We accept credit cards PayPal and bank transfers.,Billing
What credit cards are accepted?,We accept credit cards PayPal and bank transfers.,Billing
Are bank transfers allowed?,We accept credit cards PayPal and bank transfers.,Billing
What are your payment options?,We accept credit cards PayPal and bank transfers.,Billing
What is your pricing?,Our pricing depends on the product or service you choose. Visit our pricing page for details.,Pricing
How much does this cost?,Our pricing depends on the product or service you choose. Visit our pricing page for details.,Pricing
Can you tell me the price?,Our pricing depends on the product or service you choose. Visit our pricing page for details.,Pricing
Where can I find pricing information?,Our pricing depends on the product or service you choose. Visit our pricing page for details.,Pricing
What are your rates?,Our pricing depends on the product or service you choose. Visit our pricing page for details.,Pricing
How do I cancel my subscription?,You can cancel your subscription through your account settings or contact support for assistance.,Subscriptions
I want to stop my subscription. How do I do that?,You can cancel your subscription through your account settings or contact support for assistance.,Subscriptions
What is the process to cancel my account?,You can cancel your subscription through your account settings or contact support for assistance.,Subscriptions
Can I end my subscription?,You can cancel your subscription through your account settings or contact support for assistance.,Subscriptions
How do I terminate my subscription?,You can cancel your subscription through your account settings or contact support for assistance.,Subscriptions
